Reference, Value, Footprint, Datasheet
U1,ONION-OMEGA2,plan44:plan44-ONION-2MM-2X16,
J1,STELVIO-2P-508,plan44:plan44-STELVIO-2P-508,
U2,Recom_R78Cxx,Converters_DCDC_ACDC:DCDC-Conv_Recom_R-78HBxx-0.5,
C5,100nF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C3,100nF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C4,10uF,Capacitors_ThroughHole:C_Radial_D7.5_L11.2_P2.5,
P2,FDI_Cable,Pin_Headers:Pin_Header_Angled_1x06,
P3,CONN_02X03,Pin_Headers:Pin_Header_Angled_2x03,
P4,CONN_02X03,Pin_Headers:Pin_Header_Angled_2x03,
C1,100nF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C2,100nF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
P1,CONN_01X04,Pin_Headers:Pin_Header_Straight_1x04,
J3,HLJ-6115ANL,plan44:plan44-HLJ-6115ANL,
P7,CONN_02X02,Pin_Headers:Pin_Header_Straight_2x02,
C8,1uF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
R1,49.9_1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R2,49.9_1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R3,49.9_1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R4,49.9_1%,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
C6,100nF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
C7,100nF,Capacitors_ThroughHole:C_Rect_L7_W2.5_P5,
R5,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R6,1k,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
J2,SBB,plan44:plan44-STELVIO-4P-508,
U3,ADM3485E,SMD_Packages:SOIC-8-N,
P6,CONN_02X03,Pin_Headers:Pin_Header_Straight_2x03,
P5,CONN_02X05,Pin_Headers:Pin_Header_Straight_2x05,
MH1,CONN_01X01,Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad,
MH2,CONN_01X01,Mounting_Holes:MountingHole_3.2mm_M3_DIN965_Pad,
U4,7400,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,
